Name,Selling Price,Seller,Owner Type,Mileage,Age of Bike
Hero Honda CBZ extreme,40000,Individual,First Owner,50000,11
Hero Honda CBZ extreme,35000,Individual,First Owner,60000,8
Royal Enfield Thunder 500,175000,Individual,First Owner,3000,2
UM Renegade Mojave,170000,Individual,First Owner,1400,1
KTM RC200,165000,Individual,First Owner,4000,1
Bajaj Dominar 400,145000,Individual,First Owner,1200,1
Royal Enfield Classic 350,135000,Individual,First Owner,4100,1
KTM RC390,135000,Individual,First Owner,21700,3
Hyosung GT250R,135000,Individual,Used,16500,4
Royal Enfield Thunder 350,125000,Individual,First Owner,15000,5
Royal Enfield Thunder 350,120000,Individual,First Owner,18000,2
Royal Enfield Classic 350,120000,Individual,First Owner,11000,1
KTM RC200,120000,Individual,First Owner,6000,2
Royal Enfield Thunder 350,115000,Individual,First Owner,8700,2
KTM 390 Duke ,115000,Individual,First Owner,7000,4
Mahindra Mojo XT300,115000,Individual,First Owner,35000,2
Royal Enfield Classic 350,115000,Individual,First Owner,17000,3
Royal Enfield Classic 350,111000,Individual,First Owner,17500,3
Royal Enfield Classic 350,110000,Individual,First Owner,33000,5
Royal Enfield Thunder 500,110000,Individual,First Owner,14000,3
Royal Enfield Classic 350,110000,Individual,First Owner,26000,3
Royal Enfield Thunder 500,105000,Individual,First Owner,5400,5
Bajaj Pulsar RS200,105000,Individual,First Owner,5700,2
Royal Enfield Thunder 350,105000,Individual,First Owner,6900,7
Royal Enfield Bullet 350,105000,Individual,First Owner,6000,2
Royal Enfield Classic 350,100000,Individual,First Owner,46500,5
Royal Enfield Classic 500,95000,Individual,First Owner,11500,6
Royal Enfield Classic 500,90000,Individual,First Owner,40000,9
Bajaj Avenger 220,90000,Individual,First Owner,1300,1
Bajaj Avenger 150,75000,Individual,First Owner,7000,2
Honda CB Hornet 160R,80000,Individual,First Owner,3000,1
Yamaha FZ S V 2.0,78000,Individual,First Owner,5000,1
Honda CB Hornet 160R,75000,Individual,First Owner,11000,1
Yamaha FZ 16,75000,Individual,First Owner,18000,3
Bajaj Avenger 220,75000,Individual,First Owner,3500,1
Bajaj Avenger 220,72000,Individual,First Owner,500,2
TVS Apache RTR 160,65000,Individual,First Owner,11800,1
Bajaj Pulsar 150,65000,Individual,First Owner,5000,3
Honda CBR 150,65000,Individual,First Owner,23500,4
Hero Extreme,65000,Individual,First Owner,16000,5
Honda CB Hornet 160R,60000,Individual,First Owner,15000,2
Bajaj Avenger 220 dtsi,60000,Individual,First Owner,16600,3
Honda CBR 150,60000,Individual,First Owner,32000,5
Bajaj Avenger 150 street,60000,Individual,First Owner,20000,2
Yamaha FZ  v 2.0,60000,Individual,First Owner,29000,3
Yamaha FZ  v 2.0,60000,Individual,First Owner,25000,2
Bajaj Pulsar  NS 200,60000,Individual,First Owner,25000,4
TVS Apache RTR 160,60000,Individual,First Owner,19000,6
Hero Extreme,55000,Individual,First Owner,15000,4
Yamaha FZ S V 2.0,55000,Individual,First Owner,58000,3
Bajaj Pulsar 220 F,52000,Individual,First Owner,45000,8
Bajaj Pulsar 220 F,51000,Individual,First Owner,24000,2
TVS Apache RTR 180,50000,Individual,First Owner,6000,7
Hero Passion X pro,50000,Individual,First Owner,31000,2
Bajaj Pulsar NS 200,50000,Individual,First Owner,13000,6
Bajaj Pulsar NS 200,50000,Individual,First Owner,45000,5
Yamaha Fazer ,50000,Individual,First Owner,8000,4
Honda Activa 4G,48000,Individual,First Owner,4300,1
TVS Sport ,48000,Individual,First Owner,15000,1
Yamaha FZ S V 2.0,48000,Individual,First Owner,23000,3
Honda Dream Yuga ,48000,Individual,First Owner,8600,1
Honda Activa 4G,45000,Individual,First Owner,4000,1
Bajaj Avenger Street 220,45000,Individual,First Owner,24000,7
TVS Apache RTR 180,45000,Individual,First Owner,23000,4
Bajaj Pulsar NS 200,45000,Individual,First Owner,14500,6
Bajaj Avenger 220 dtsi,45000,Individual,First Owner,27000,8
Hero Splender iSmart,45000,Individual,First Owner,14000,2
Activa 3g,45000,Individual,First Owner,500,2
Hero Passion Pro,45000,Individual,First Owner,1000,2
TVS Apache RTR 160,42000,Individual,First Owner,42000,4
Honda CB Trigger,42000,Individual,First Owner,12000,5
Hero Splender iSmart,40000,Individual,First Owner,14000,3
Yamaha FZ S ,40000,Individual,First Owner,5500,6
Hero Passion Pro,40000,Individual,First Owner,6700,3
Bajaj Pulsar 135 LS,40000,Individual,First Owner,13700,4
Activa 4g,40000,Individual,First Owner,1300,1
Honda CB Unicorn,38000,Individual,First Owner,38600,3
Hero Honda CBZ extreme,38000,Individual,First Owner,75000,7
Honda Karizma,35000,Individual,First Owner,30000,7
Honda Activa 125,35000,Individual,First Owner,24000,2
TVS Jupyter,35000,Individual,First Owner,19000,4
Honda Karizma,31000,Individual,First Owner,213000,8
Hero Honda Passion Pro,30000,Individual,First Owner,60000,6
Hero Splender Plus,30000,Individual,First Owner,50000,2
Honda CB Shine,30000,Individual,First Owner,30000,5
Bajaj Discover 100,27000,Individual,First Owner,21000,5
Bajaj Pulsar 150,25000,Individual,Used,26000,10
Suzuki Access 125,25000,Individual,First Owner,1900,10
TVS Wego,25000,Individual,First Owner,22000,8
Honda CB twister,25000,Individual,First Owner,32000,5
Hero Glamour,25000,Individual,First Owner,18000,5
Hero Super Splendor,20000,Individual,First Owner,55000,13
Bajaj Pulsar 150,20000,Individual,First Owner,60000,10
Bajaj Discover 125,20000,Individual,Used,25000,6
Hero Hunk,20000,Individual,Used,49000,11
Hero  Ignitor Disc,20000,Individual,Used,24000,5
Hero  CBZ Xtreme,20000,Individual,First Owner,50000,10
Bajaj  ct 100,18000,Individual,First Owner,35000,3
Activa 3g,17000,Individual,First Owner,500000,10
Honda CB twister,16000,Individual,First Owner,33000,8
Bajaj Discover 125,15000,Individual,Used,35000,7
Honda CB Shine,12000,Individual,First Owner,53000,11
Bajaj Pulsar 150,10000,Individual,First Owner,92233,12
